,dtime,p_sfc,rh_2,t_2,tdew2m,wdir_70,wspd_70
266,2021-01-03 18:30:00,1026.813,84.795,10.012,7.571,42.805,6.922
267,2021-01-03 18:45:00,1026.795,84.893,10.067,7.641,43.842,7.095
268,2021-01-03 19:00:00,1026.776,84.953,10.116,7.699,44.854,7.255
269,2021-01-03 19:15:00,1026.776,84.995,10.152,7.742,45.791,7.383
270,2021-01-03 19:30:00,1026.782,85.026,10.179,7.774,46.897,7.482
271,2021-01-03 19:45:00,1026.775,85.054,10.2,7.799,48.471,7.564
272,2021-01-03 20:00:00,1026.735,85.085,10.219,7.823,50.794,7.648
273,2021-01-03 20:15:00,1026.65,85.125,10.239,7.85,53.985,7.748
274,2021-01-03 20:30:00,1026.536,85.177,10.26,7.88,57.631,7.844
275,2021-01-03 20:45:00,1026.417,85.243,10.278,7.909,61.279,7.889
276,2021-01-03 21:00:00,1026.316,85.326,10.29,7.935,64.583,7.825
277,2021-01-03 21:15:00,1026.25,85.428,10.296,7.958,67.301,7.601
278,2021-01-03 21:30:00,1026.215,85.55,10.297,7.98,69.26,7.25
279,2021-01-03 21:45:00,1026.201,85.696,10.298,8.006,70.143,6.828
280,2021-01-03 22:00:00,1026.198,85.867,10.304,8.041,69.432,6.395
281,2021-01-03 22:15:00,1026.197,86.065,10.317,8.088,66.66,6.015
282,2021-01-03 22:30:00,1026.196,86.284,10.337,8.145,62.23,5.731
283,2021-01-03 22:45:00,1026.196,86.518,10.362,8.21,57.071,5.567
284,2021-01-03 23:00:00,1026.196,86.761,10.39,8.279,52.362,5.517
285,2021-01-03 23:15:00,1026.198,87.006,10.42,8.349,49.034,5.543
286,2021-01-03 23:30:00,1026.205,87.243,10.447,8.416,46.924,5.594
287,2021-01-03 23:45:00,1026.22,87.46,10.468,8.474,45.538,5.635
288,2021-01-04 00:00:00,1026.777,85.446,9.754,7.429,53.178,5.546
289,2021-01-04 00:15:00,1026.711,85.721,9.784,7.506,51.52,5.459
290,2021-01-04 00:30:00,1026.672,86.047,9.803,7.579,48.689,5.403
291,2021-01-04 00:45:00,1026.649,86.349,9.815,7.643,45.511,5.401
292,2021-01-04 01:00:00,1026.632,86.553,9.824,7.687,42.875,5.46
293,2021-01-04 01:15:00,1026.613,86.61,9.836,7.708,41.433,5.566
294,2021-01-04 01:30:00,1026.59,86.563,9.849,7.713,40.987,5.692
295,2021-01-04 01:45:00,1026.562,86.479,9.863,7.712,41.136,5.807
296,2021-01-04 02:00:00,1026.531,86.423,9.876,7.716,41.511,5.885
297,2021-01-04 02:15:00,1026.494,86.446,9.888,7.731,41.831,5.91
298,2021-01-04 02:30:00,1026.445,86.535,9.897,7.756,42.05,5.894
299,2021-01-04 02:45:00,1026.379,86.66,9.904,7.783,42.167,5.86
300,2021-01-04 03:00:00,1026.286,86.79,9.907,7.808,42.178,5.831
301,2021-01-04 03:15:00,1026.161,86.902,9.906,7.826,42.182,5.827
302,2021-01-04 03:30:00,1025.999,87.002,9.905,7.842,42.685,5.868
303,2021-01-04 03:45:00,1025.794,87.102,9.907,7.86,44.256,5.972
304,2021-01-04 04:00:00,1025.543,87.214,9.916,7.889,47.354,6.17
305,2021-01-04 04:15:00,1025.251,87.332,9.937,7.93,51.958,6.496
306,2021-01-04 04:30:00,1024.966,87.378,9.973,7.974,56.971,6.906
307,2021-01-04 04:45:00,1024.747,87.252,10.03,8.009,61.449,7.309
308,2021-01-04 05:00:00,1024.652,86.859,10.113,8.022,64.878,7.58
309,2021-01-04 05:15:00,1024.72,86.139,10.222,8.006,67.127,7.62
310,2021-01-04 05:30:00,1024.905,85.193,10.346,7.965,68.65,7.478
311,2021-01-04 05:45:00,1025.14,84.16,10.471,7.908,69.9,7.249
312,2021-01-04 06:00:00,1025.359,83.179,10.582,7.846,71.268,7.035
313,2021-01-04 06:15:00,1025.512,82.362,10.668,7.787,72.983,6.921
314,2021-01-04 06:30:00,1025.612,81.723,10.735,7.738,74.751,6.9
315,2021-01-04 06:45:00,1025.692,81.247,10.792,7.707,76.165,6.936
316,2021-01-04 07:00:00,1025.779,80.92,10.847,7.701,76.867,6.993
317,2021-01-04 07:15:00,1025.898,80.727,10.908,7.725,76.622,7.03
318,2021-01-04 07:30:00,1026.04,80.64,10.973,7.772,75.535,7.01
319,2021-01-04 07:45:00,1026.186,80.631,11.038,7.834,73.742,6.897
320,2021-01-04 08:00:00,1026.321,80.671,11.099,7.901,71.296,6.657
321,2021-01-04 08:15:00,1026.431,80.723,11.154,7.965,68.17,6.282
322,2021-01-04 08:30:00,1026.513,80.707,11.217,8.025,64.474,5.861
323,2021-01-04 08:45:00,1026.569,80.537,11.305,8.079,60.609,5.503
324,2021-01-04 09:00:00,1026.599,80.125,11.434,8.128,57.381,5.301
325,2021-01-04 09:15:00,1026.604,79.421,11.612,8.17,55.71,5.306
326,2021-01-04 09:30:00,1026.582,78.517,11.818,8.201,55.706,5.471
327,2021-01-04 09:45:00,1026.528,77.546,12.022,8.216,57.025,5.737
328,2021-01-04 10:00:00,1026.44,76.638,12.195,8.211,59.258,6.05
329,2021-01-04 10:15:00,1026.316,75.897,12.313,8.184,62.029,6.364
330,2021-01-04 10:30:00,1026.16,75.322,12.386,8.143,64.885,6.648
331,2021-01-04 10:45:00,1025.977,74.886,12.43,8.099,67.452,6.868
332,2021-01-04 11:00:00,1025.772,74.561,12.458,8.062,69.451,6.98
333,2021-01-04 11:15:00,1025.549,74.316,12.486,8.04,70.719,6.953
334,2021-01-04 11:30:00,1025.31,74.104,12.518,8.029,71.407,6.821
335,2021-01-04 11:45:00,1025.055,73.872,12.556,8.02,71.692,6.639
336,2021-01-04 12:00:00,1024.784,73.568,12.603,8.005,71.727,6.463
337,2021-01-04 12:15:00,1024.502,73.16,12.661,7.978,71.655,6.337
338,2021-01-04 12:30:00,1024.221,72.689,12.725,7.944,71.538,6.263
339,2021-01-04 12:45:00,1023.957,72.217,12.788,7.909,71.426,6.229
340,2021-01-04 13:00:00,1023.726,71.804,12.844,7.879,71.364,6.224
341,2021-01-04 13:15:00,1023.541,71.503,12.887,7.86,71.365,6.236
342,2021-01-04 13:30:00,1023.401,71.33,12.915,7.85,71.295,6.248
343,2021-01-04 13:45:00,1023.305,71.29,12.923,7.85,70.989,6.239
344,2021-01-04 14:00:00,1023.249,71.39,12.909,7.857,70.269,6.193
