,dtime,p_sfc,rh_2,t_2,tdew2m,wdir_70,wspd_70
310,2021-01-04 05:30:00,882.682,68.419,-18.589,-22.966,287.749,4.462
311,2021-01-04 05:45:00,882.632,68.329,-18.574,-22.966,286.817,4.508
312,2021-01-04 06:00:00,882.606,68.299,-18.558,-22.955,285.986,4.56
313,2021-01-04 06:15:00,882.619,68.331,-18.547,-22.939,285.362,4.615
314,2021-01-04 06:30:00,882.668,68.414,-18.54,-22.919,284.917,4.676
315,2021-01-04 06:45:00,882.744,68.535,-18.535,-22.895,284.59,4.748
316,2021-01-04 07:00:00,882.838,68.681,-18.53,-22.865,284.324,4.836
317,2021-01-04 07:15:00,882.943,68.841,-18.522,-22.832,284.086,4.944
318,2021-01-04 07:30:00,883.061,69.014,-18.517,-22.798,283.918,5.062
319,2021-01-04 07:45:00,883.196,69.199,-18.517,-22.767,283.875,5.178
320,2021-01-04 08:00:00,883.351,69.399,-18.527,-22.745,284.004,5.28
321,2021-01-04 08:15:00,883.529,69.613,-18.554,-22.736,284.335,5.355
322,2021-01-04 08:30:00,883.721,69.845,-18.601,-22.743,284.816,5.395
323,2021-01-04 08:45:00,883.917,70.099,-18.673,-22.772,285.388,5.387
324,2021-01-04 09:00:00,884.107,70.378,-18.775,-22.825,286.002,5.321
325,2021-01-04 09:15:00,884.282,70.676,-18.906,-22.903,286.611,5.194
326,2021-01-04 09:30:00,884.447,70.943,-19.031,-22.981,287.153,5.025
327,2021-01-04 09:45:00,884.611,71.119,-19.111,-23.03,287.545,4.842
328,2021-01-04 10:00:00,884.78,71.144,-19.104,-23.02,287.674,4.671
329,2021-01-04 10:15:00,884.958,70.981,-18.983,-22.93,287.432,4.536
330,2021-01-04 10:30:00,885.129,70.689,-18.77,-22.772,286.79,4.449
331,2021-01-04 10:45:00,885.269,70.351,-18.499,-22.564,285.767,4.42
332,2021-01-04 11:00:00,885.359,70.049,-18.204,-22.328,284.419,4.461
333,2021-01-04 11:15:00,885.386,69.831,-17.911,-22.079,282.858,4.579
334,2021-01-04 11:30:00,885.37,69.607,-17.614,-21.829,281.274,4.778
335,2021-01-04 11:45:00,885.342,69.253,-17.299,-21.585,279.85,5.058
336,2021-01-04 12:00:00,885.332,68.645,-16.953,-21.355,278.723,5.415
337,2021-01-04 12:15:00,885.36,67.702,-16.566,-21.144,277.957,5.847
338,2021-01-04 12:30:00,885.407,66.511,-16.156,-20.956,277.503,6.338
339,2021-01-04 12:45:00,885.444,65.204,-15.746,-20.792,277.289,6.87
340,2021-01-04 13:00:00,885.441,63.912,-15.361,-20.652,277.251,7.428
341,2021-01-04 13:15:00,885.377,62.747,-15.019,-20.538,277.333,7.994
342,2021-01-04 13:30:00,885.265,61.752,-14.723,-20.441,277.476,8.553
343,2021-01-04 13:45:00,885.127,60.951,-14.474,-20.356,277.63,9.091
344,2021-01-04 14:00:00,884.984,60.368,-14.27,-20.275,277.758,9.591
345,2021-01-04 14:15:00,884.856,60.014,-14.11,-20.191,277.837,10.04
346,2021-01-04 14:30:00,884.75,59.858,-13.992,-20.109,277.871,10.436
347,2021-01-04 14:45:00,884.671,59.853,-13.913,-20.036,277.867,10.775
348,2021-01-04 15:00:00,884.627,59.955,-13.872,-19.976,277.829,11.056
349,2021-01-04 15:15:00,884.619,60.131,-13.864,-19.935,277.768,11.278
350,2021-01-04 15:30:00,884.644,60.387,-13.889,-19.909,277.718,11.44
351,2021-01-04 15:45:00,884.694,60.743,-13.945,-19.894,277.718,11.541
352,2021-01-04 16:00:00,884.763,61.218,-14.029,-19.883,277.807,11.581
353,2021-01-04 16:15:00,884.844,61.816,-14.14,-19.877,278.015,11.558
354,2021-01-04 16:30:00,884.934,62.489,-14.282,-19.886,278.333,11.475
355,2021-01-04 16:45:00,885.028,63.172,-14.455,-19.925,278.743,11.331
356,2021-01-04 17:00:00,885.125,63.804,-14.665,-20.008,279.229,11.127
357,2021-01-04 17:15:00,885.221,64.326,-14.909,-20.146,279.777,10.864
358,2021-01-04 17:30:00,885.318,64.71,-15.176,-20.332,280.366,10.542
